region,period,scen,rem
188,2065,SSP1,-3.704727636
188,2070,SSP1,-4.367301446
188,2075,SSP1,-4.821567423
188,2080,SSP1,-5.240407538
188,2085,SSP1,-5.966840537
188,2090,SSP1,-6.174281215
188,2095,SSP1,-6.152484487
188,2100,SSP1,-7.139001063
192,2015,SSP1,NA
192,2020,SSP1,0
192,2025,SSP1,0
192,2030,SSP1,0
192,2035,SSP1,0
192,2040,SSP1,0
192,2045,SSP1,0
192,2050,SSP1,0
192,2055,SSP1,0
192,2060,SSP1,0
192,2065,SSP1,0
192,2070,SSP1,0
192,2075,SSP1,0
192,2080,SSP1,0
192,2085,SSP1,0
192,2090,SSP1,0
192,2095,SSP1,0
192,2100,SSP1,0
196,2015,SSP1,NA
196,2020,SSP1,-0.100601609
196,2025,SSP1,-0.086420208
196,2030,SSP1,-0.069012441
196,2035,SSP1,-0.069906749
196,2040,SSP1,-0.073045651
196,2045,SSP1,-0.081099926
196,2050,SSP1,-0.100789913
196,2055,SSP1,-0.112963849
196,2060,SSP1,-0.125544145
196,2065,SSP1,-0.167199652
196,2070,SSP1,-0.188377391
196,2075,SSP1,-0.220142025
196,2080,SSP1,-0.294753271
196,2085,SSP1,-0.331710554
196,2090,SSP1,-0.290959707
196,2095,SSP1,-0.204219164
196,2100,SSP1,-0.413114012
203,2015,SSP1,NA
203,2020,SSP1,2.038264309
203,2025,SSP1,3.594221416
203,2030,SSP1,5.351066205
203,2035,SSP1,7.362272376
203,2040,SSP1,9.491228256
203,2045,SSP1,12.32783649
203,2050,SSP1,15.62669165
203,2055,SSP1,18.60817858
203,2060,SSP1,22.20397469
203,2065,SSP1,26.324162
203,2070,SSP1,30.30320086
203,2075,SSP1,33.28772919
203,2080,SSP1,37.7688752
203,2085,SSP1,41.63777153
203,2090,SSP1,42.99562974
203,2095,SSP1,48.12747167
203,2100,SSP1,51.71029755
276,2015,SSP1,NA
276,2020,SSP1,-23.61131695
276,2025,SSP1,-32.22763256
276,2030,SSP1,-41.95614251
276,2035,SSP1,-54.07367813
276,2040,SSP1,-67.65917073
276,2045,SSP1,-84.36251345
276,2050,SSP1,-104.5241871
276,2055,SSP1,-124.8070743
276,2060,SSP1,-146.5890361
276,2065,SSP1,-174.2259946
276,2070,SSP1,-200.9244005
276,2075,SSP1,-228.2751125
276,2080,SSP1,-260.8125569
276,2085,SSP1,-288.2101409
276,2090,SSP1,-312.74155
276,2095,SSP1,-346.7803447
276,2100,SSP1,-369.995892
262,2015,SSP1,NA
262,2020,SSP1,0.10218792
262,2025,SSP1,0.135442618
262,2030,SSP1,0.185027773
262,2035,SSP1,0.256480465
262,2040,SSP1,0.357890074
262,2045,SSP1,0.499745835
262,2050,SSP1,0.689433237
262,2055,SSP1,0.932924256
262,2060,SSP1,1.257898457
262,2065,SSP1,1.692026738
262,2070,SSP1,2.222850676
262,2075,SSP1,2.841871584
262,2080,SSP1,3.559831422
262,2085,SSP1,4.522933213
262,2090,SSP1,5.42257382
262,2095,SSP1,6.478135889
262,2100,SSP1,8.002011818
208,2015,SSP1,NA
208,2020,SSP1,-0.547785867
208,2025,SSP1,-0.452168926
208,2030,SSP1,-0.32952479
208,2035,SSP1,-0.224136044
208,2040,SSP1,-0.065545268
